position,lookup_string,team_abbr
K,"K, BAL: J.Tucker (AFC North, ID: 00-0029597)",BAL
K,"K, BUF: T.Bass (AFC East, ID: 00-0036162)",BUF
K,"K, CLE: C.York (AFC North, ID: 00-0038097)",CLE
K,"K, DAL: B.Maher (NFC East, ID: 00-0030332)",DAL
K,"K, DAL: J.Garibay (NFC East, ID: 00-0037567)",DAL
K,"K, DAL: T.Vizcaino (NFC East, ID: 00-0034909)",DAL
K,"K, DET: A.Rosas (NFC North, ID: 00-0032870)",DET
K,"K, DET: A.Seibert (NFC North, ID: 00-0035145)",DET
K,"K, DET: D.Eberle (NFC North, ID: 00-0036168)",DET
K,"K, DET: M.Badgley (NFC North, ID: 00-0034084)",DET
K,"K, DET: S.Ficken (NFC North, ID: 00-0033138)",DET
K,"K, GB: G.Brkic (NFC North, ID: 00-0037492)",GB
K,"K, GB: M.Ammendola (NFC North, ID: 00-0036469)",GB
K,"K, GB: M.Crosby (NFC North, ID: 00-0025580)",GB
K,"K, GB: R.Ahmed (NFC North, ID: 00-0035761)",GB
K,"K, HOU: J.Fairbairn (AFC South, ID: 00-0032726)",HOU
K,"K, KC: H.Butker (AFC West, ID: 00-0033303)",KC
K,"K, KC: M.Wright (AFC West, ID: 00-0035189)",KC
K,"K, LA: M.Gay (NFC West, ID: 00-0035269)",LA
K,"K, MIA: J.Sanders (AFC East, ID: 00-0034794)",MIA
K,"K, PHI: J.Elliott (NFC East, ID: 00-0033787)",PHI
K,"K, PIT: C.Boswell (AFC North, ID: 00-0031136)",PIT
K,"K, PIT: N.Sciba (AFC North, ID: 00-0037645)",PIT
K,"K, SF: R.Gould (NFC West, ID: 00-0023252)",SF
K,"K, SF: S.Sloman (NFC West, ID: 00-0036436)",SF
K,"K, TB: J.Borregales (NFC South, ID: 00-0036757)",TB
K,"K, TB: R.Succop (NFC South, ID: 00-0026968)",TB
QB,"QB, BAL: A.Brown (AFC North, ID: 00-0037175)",BAL
QB,"QB, BAL: B.Hundley (AFC North, ID: 00-0031589)",BAL
QB,"QB, BAL: L.Jackson (AFC North, ID: 00-0034796)",BAL
QB,"QB, BAL: T.Huntley (AFC North, ID: 00-0035993)",BAL
QB,"QB, BUF: C.Keenum (AFC East, ID: 00-0028986)",BUF
QB,"QB, BUF: J.Allen (AFC East, ID: 00-0034857)",BUF
QB,"QB, BUF: M.Barkley (AFC East, ID: 00-0030533)",BUF
QB,"QB, CLE: D.Watson (AFC North, ID: 00-0033537)",CLE
QB,"QB, CLE: J.Brissett (AFC North, ID: 00-0033119)",CLE
QB,"QB, CLE: K.Mond (AFC North, ID: 00-0036946)",CLE
QB,"QB, DAL: B.DiNucci (NFC East, ID: 00-0036384)",DAL
QB,"QB, DAL: C.Rush (NFC East, ID: 00-0033662)",DAL
QB,"QB, DAL: R.Prescott (NFC East, ID: 00-0033077)",DAL
QB,"QB, DAL: W.Grier (NFC East, ID: 00-0035251)",DAL
QB,"QB, DET: J.Goff (NFC North, ID: 00-0033106)",DET
QB,"QB, DET: N.Sudfeld (NFC North, ID: 00-0032792)",DET
QB,"QB, DET: S.Montez (NFC North, ID: 00-0036022)",DET
QB,"QB, GB: A.Rodgers (NFC North, ID: 00-0023459)",GB
QB,"QB, GB: D.Etling (NFC North, ID: 00-0034423)",GB
QB,"QB, GB: J.Love (NFC North, ID: 00-0036264)",GB
QB,"QB, HOU: D.Mills (AFC South, ID: 00-0036898)",HOU
QB,"QB, HOU: J.Driskel (AFC South, ID: 00-0032436)",HOU
QB,"QB, HOU: K.Allen (AFC South, ID: 00-0034577)",HOU
QB,"QB, KC: C.Henne (AFC West, ID: 00-0026197)",KC
QB,"QB, KC: C.Oladokun (AFC West, ID: 00-0037324)",KC
QB,"QB, KC: D.Crum (AFC West, ID: 00-0037209)",KC
QB,"QB, KC: P.Mahomes (AFC West, ID: 00-0033873)",KC
QB,"QB, KC: S.Buechele (AFC West, ID: 00-0036679)",KC
QB,"QB, LA: B.Mayfield (NFC West, ID: 00-0034855)",LA
QB,"QB, LA: B.Perkins (NFC West, ID: 00-0035939)",LA
QB,"QB, LA: J.Stafford (NFC West, ID: 00-0026498)",LA
QB,"QB, LA: J.Wolford (NFC West, ID: 00-0034899)",LA
QB,"QB, LA: S.Cookus (NFC West, ID: 00-0035812)",LA
QB,"QB, MIA: J.Lovett (AFC East, ID: 00-0035161)",MIA
QB,"QB, MIA: M.Glennon (AFC East, ID: 00-0030520)",MIA
QB,"QB, MIA: R.Sinnett (AFC East, ID: 00-0036052)",MIA
QB,"QB, MIA: S.Thompson (AFC East, ID: 00-0037327)",MIA
QB,"QB, MIA: T.Bridgewater (AFC East, ID: 00-0031237)",MIA
QB,"QB, MIA: T.Tagovailoa (AFC East, ID: 00-0036212)",MIA
QB,"QB, PHI: G.Minshew (NFC East, ID: 00-0035289)",PHI
QB,"QB, PHI: I.Book (NFC East, ID: 00-0036929)",PHI
QB,"QB, PHI: J.Hurts (NFC East, ID: 00-0036389)",PHI
QB,"QB, PIT: K.Pickett (AFC North, ID: 00-0038102)",PIT
QB,"QB, PIT: M.Rudolph (AFC North, ID: 00-0034771)",PIT
QB,"QB, PIT: M.Trubisky (AFC North, ID: 00-0033869)",PIT
QB,"QB, SF: B.Purdy (NFC West, ID: 00-0037834)",SF
QB,"QB, SF: J.Eason (NFC West, ID: 00-0036226)",SF
QB,"QB, SF: J.Garoppolo (NFC West, ID: 00-0031345)",SF
QB,"QB, SF: J.Johnson (NFC West, ID: 00-0026300)",SF
QB,"QB, SF: K.Benkert (NFC West, ID: 00-0034131)",SF
QB,"QB, SF: T.Lance (NFC West, ID: 00-0037012)",SF
QB,"QB, TB: B.Gabbert (NFC South, ID: 00-0027948)",TB
QB,"QB, TB: K.Trask (NFC South, ID: 00-0036928)",TB
QB,"QB, TB: R.Griffin (NFC South, ID: 00-0029857)",TB
QB,"QB, TB: T.Brady (NFC South, ID: 00-0019596)",TB
