team_abbr,position,player_id,player_name,team_conf,team_division,lookup_string
ARI,K,00-0023853,M.Prater,NFC,NFC West,"K, ARI: M.Prater (NFC West, ID: 00-0023853)"
ARI,QB,00-0027688,D.McCoy,NFC,NFC West,"QB, ARI: D.McCoy (NFC West, ID: 00-0027688)"
ARI,WR,00-0027942,A.Green,NFC,NFC West,"WR, ARI: A.Green (NFC West, ID: 00-0027942)"
ARI,TE,00-0030061,Z.Ertz,NFC,NFC West,"TE, ARI: Z.Ertz (NFC West, ID: 00-0030061)"
ARI,WR,00-0030564,D.Hopkins,NFC,NFC West,"WR, ARI: D.Hopkins (NFC West, ID: 00-0030564)"
ARI,TE,00-0031558,M.Williams,NFC,NFC West,"TE, ARI: M.Williams (NFC West, ID: 00-0031558)"
ARI,WR,00-0032688,R.Anderson,NFC,NFC West,"WR, ARI: R.Anderson (NFC West, ID: 00-0032688)"
ARI,TE,00-0032725,S.Anderson,NFC,NFC West,"TE, ARI: S.Anderson (NFC West, ID: 00-0032725)"
ARI,TE,00-0032864,A.Ellis,NFC,NFC West,"TE, ARI: A.Ellis (NFC West, ID: 00-0032864)"
ARI,WR,00-0033111,P.Cooper,NFC,NFC West,"WR, ARI: P.Cooper (NFC West, ID: 00-0033111)"
ARI,RB,00-0033553,J.Conner,NFC,NFC West,"RB, ARI: J.Conner (NFC West, ID: 00-0033553)"
ARI,RB,00-0033725,C.Clement,NFC,NFC West,"RB, ARI: C.Clement (NFC West, ID: 00-0033725)"
ARI,WR,00-0034132,C.Blake,NFC,NFC West,"WR, ARI: C.Blake (NFC West, ID: 00-0034132)"
ARI,RB,00-0034301,D.Williams,NFC,NFC West,"RB, ARI: D.Williams (NFC West, ID: 00-0034301)"
ARI,TE,00-0034319,D.Yelder,NFC,NFC West,"TE, ARI: D.Yelder (NFC West, ID: 00-0034319)"
ARI,WR,00-0034426,J.Wims,NFC,NFC West,"WR, ARI: J.Wims (NFC West, ID: 00-0034426)"
ARI,WR,00-0034686,A.Tate,NFC,NFC West,"WR, ARI: A.Tate (NFC West, ID: 00-0034686)"
ARI,QB,00-0035040,D.Blough,NFC,NFC West,"QB, ARI: D.Blough (NFC West, ID: 00-0035040)"
ARI,WR,00-0035126,A.Wesley,NFC,NFC West,"WR, ARI: A.Wesley (NFC West, ID: 00-0035126)"
ARI,QB,00-0035146,T.McSorley,NFC,NFC West,"QB, ARI: T.McSorley (NFC West, ID: 00-0035146)"
ARI,QB,00-0035228,K.Murray,NFC,NFC West,"QB, ARI: K.Murray (NFC West, ID: 00-0035228)"
ARI,WR,00-0035500,G.Dortch,NFC,NFC West,"WR, ARI: G.Dortch (NFC West, ID: 00-0035500)"
ARI,WR,00-0035662,M.Brown,NFC,NFC West,"WR, ARI: M.Brown (NFC West, ID: 00-0035662)"
ARI,K,00-0035849,R.Blankenship,NFC,NFC West,"K, ARI: R.Blankenship (NFC West, ID: 00-0035849)"
ARI,WR,00-0035876,A.Baccellia,NFC,NFC West,"WR, ARI: A.Baccellia (NFC West, ID: 00-0035876)"
ARI,QB,00-0036301,J.Morgan,NFC,NFC West,"QB, ARI: J.Morgan (NFC West, ID: 00-0036301)"
ARI,RB,00-0036457,T.Williams,NFC,NFC West,"RB, ARI: T.Williams (NFC West, ID: 00-0036457)"
ARI,WR,00-0036936,R.Moore,NFC,NFC West,"WR, ARI: R.Moore (NFC West, ID: 00-0036936)"
ARI,TE,00-0037020,B.Seikovits,NFC,NFC West,"TE, ARI: B.Seikovits (NFC West, ID: 00-0037020)"
ARI,QB,00-0037139,C.Strong,NFC,NFC West,"QB, ARI: C.Strong (NFC West, ID: 00-0037139)"
ARI,RB,00-0037299,K.Ingram,NFC,NFC West,"RB, ARI: K.Ingram (NFC West, ID: 00-0037299)"
ARI,WR,00-0037553,J.Kirklin,NFC,NFC West,"WR, ARI: J.Kirklin (NFC West, ID: 00-0037553)"
ARI,WR,00-0037555,J.Payton,NFC,NFC West,"WR, ARI: J.Payton (NFC West, ID: 00-0037555)"
ARI,TE,00-0037556,C.Pierce,NFC,NFC West,"TE, ARI: C.Pierce (NFC West, ID: 00-0037556)"
ARI,RB,00-0037652,T.Pledger,NFC,NFC West,"RB, ARI: T.Pledger (NFC West, ID: 00-0037652)"
ARI,WR,00-0037653,J.Smart,NFC,NFC West,"WR, ARI: J.Smart (NFC West, ID: 00-0037653)"
ARI,TE,00-0037744,T.McBride,NFC,NFC West,"TE, ARI: T.McBride (NFC West, ID: 00-0037744)"
ATL,RB,00-0030578,C.Patterson,NFC,NFC South,"RB, ATL: C.Patterson (NFC South, ID: 00-0030578)"
ATL,RB,00-0030874,D.Williams,NFC,NFC South,"RB, ATL: D.Williams (NFC South, ID: 00-0030874)"
ATL,RB,00-0030968,A.Smith,NFC,NFC South,"RB, ATL: A.Smith (NFC South, ID: 00-0030968)"
ATL,TE,00-0031585,M.Pruitt,NFC,NFC South,"TE, ATL: M.Pruitt (NFC South, ID: 00-0031585)"
ATL,WR,00-0031868,D.Byrd,NFC,NFC South,"WR, ATL: D.Byrd (NFC South, ID: 00-0031868)"
ATL,QB,00-0032268,M.Mariota,NFC,NFC South,"QB, ATL: M.Mariota (NFC South, ID: 00-0032268)"
ATL,WR,00-0032626,G.Allison,NFC,NFC South,"WR, ATL: G.Allison (NFC South, ID: 00-0032626)"
ATL,TE,00-0033455,A.Firkser,NFC,NFC South,"TE, ATL: A.Firkser (NFC South, ID: 00-0033455)"
ATL,K,00-0033702,Y.Koo,NFC,NFC South,"K, ATL: Y.Koo (NFC South, ID: 00-0033702)"
ATL,QB,00-0034438,L.Woodside,NFC,NFC South,"QB, ATL: L.Woodside (NFC South, ID: 00-0034438)"
ATL,WR,00-0034652,C.Batson,NFC,NFC South,"WR, ATL: C.Batson (NFC South, ID: 00-0034652)"
ATL,WR,00-0034854,K.Hodge,NFC,NFC South,"WR, ATL: K.Hodge (NFC South, ID: 00-0034854)"
ATL,WR,00-0035208,O.Zaccheaus,NFC,NFC South,"WR, ATL: O.Zaccheaus (NFC South, ID: 00-0035208)"
ATL,TE,00-0035572,P.Hesse,NFC,NFC South,"TE, ATL: P.Hesse (NFC South, ID: 00-0035572)"
ATL,TE,00-0036825,F.Franks,NFC,NFC South,"TE, ATL: F.Franks (NFC South, ID: 00-0036825)"
ATL,RB,00-0036829,C.Huntley,NFC,NFC South,"RB, ATL: C.Huntley (NFC South, ID: 00-0036829)"
