team_abbr,team_name,team_name_w_abbr,team_conf,team_division,team_logo_espn,position,lookup_string
ARI,Arizona Cardinals,Arizona Cardinals (ARI),NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,Defense,"Defense, ARI (NFC West)"
ATL,Atlanta Falcons,Atlanta Falcons (ATL),NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,Defense,"Defense, ATL (NFC South)"
BAL,Baltimore Ravens,Baltimore Ravens (BAL),AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,Defense,"Defense, BAL (AFC North)"
BUF,Buffalo Bills,Buffalo Bills (BUF),AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,Defense,"Defense, BUF (AFC East)"
CAR,Carolina Panthers,Carolina Panthers (CAR),NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,Defense,"Defense, CAR (NFC South)"
CHI,Chicago Bears,Chicago Bears (CHI),NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,Defense,"Defense, CHI (NFC North)"
CIN,Cincinnati Bengals,Cincinnati Bengals (CIN),AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,Defense,"Defense, CIN (AFC North)"
CLE,Cleveland Browns,Cleveland Browns (CLE),AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,Defense,"Defense, CLE (AFC North)"
DAL,Dallas Cowboys,Dallas Cowboys (DAL),NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,Defense,"Defense, DAL (NFC East)"
DEN,Denver Broncos,Denver Broncos (DEN),AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,Defense,"Defense, DEN (AFC West)"
DET,Detroit Lions,Detroit Lions (DET),NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,Defense,"Defense, DET (NFC North)"
GB,Green Bay Packers,Green Bay Packers (GB),NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,Defense,"Defense, GB (NFC North)"
HOU,Houston Texans,Houston Texans (HOU),AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,Defense,"Defense, HOU (AFC South)"
IND,Indianapolis Colts,Indianapolis Colts (IND),AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,Defense,"Defense, IND (AFC South)"
JAX,Jacksonville Jaguars,Jacksonville Jaguars (JAX),AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,Defense,"Defense, JAX (AFC South)"
KC,Kansas City Chiefs,Kansas City Chiefs (KC),AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,Defense,"Defense, KC (AFC West)"
LA,Los Angeles Rams,Los Angeles Rams (LA),NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,Defense,"Defense, LA (NFC West)"
LAC,Los Angeles Chargers,Los Angeles Chargers (LAC),AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,Defense,"Defense, LAC (AFC West)"
LV,Las Vegas Raiders,Las Vegas Raiders (LV),AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,Defense,"Defense, LV (AFC West)"
MIA,Miami Dolphins,Miami Dolphins (MIA),AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,Defense,"Defense, MIA (AFC East)"
MIN,Minnesota Vikings,Minnesota Vikings (MIN),NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,Defense,"Defense, MIN (NFC North)"
NE,New England Patriots,New England Patriots (NE),AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,Defense,"Defense, NE (AFC East)"
NO,New Orleans Saints,New Orleans Saints (NO),NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,Defense,"Defense, NO (NFC South)"
NYG,New York Giants,New York Giants (NYG),NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,Defense,"Defense, NYG (NFC East)"
NYJ,New York Jets,New York Jets (NYJ),AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,Defense,"Defense, NYJ (AFC East)"
PHI,Philadelphia Eagles,Philadelphia Eagles (PHI),NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,Defense,"Defense, PHI (NFC East)"
PIT,Pittsburgh Steelers,Pittsburgh Steelers (PIT),AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,Defense,"Defense, PIT (AFC North)"
SEA,Seattle Seahawks,Seattle Seahawks (SEA),NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,Defense,"Defense, SEA (NFC West)"
SF,San Francisco 49ers,San Francisco 49ers (SF),NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,Defense,"Defense, SF (NFC West)"
TB,Tampa Bay Buccaneers,Tampa Bay Buccaneers (TB),NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,Defense,"Defense, TB (NFC South)"
TEN,Tennessee Titans,Tennessee Titans (TEN),AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,Defense,"Defense, TEN (AFC South)"
WAS,Washington Commanders,Washington Commanders (WAS),NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,Defense,"Defense, WAS (NFC East)"
