position,week,season_type,lookup_string,player_id,player_name,team_abbr,team_conf,team_division,stat_type,stat_label,stat_values
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,4
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_fumble_recovery,1
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,24
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,4
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_fumble_recovery,2
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,-1
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,4
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_fumble_recovery,1
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,24
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,4
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_fumble_recovery,2
Defense,19,Post,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,-1
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,4
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_interception,2
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,31
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,4
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_interception,4
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,-4
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,4
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_interception,2
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,31
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,4
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_interception,4
Defense,19,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,-4
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,1
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,27
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,1
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,-1
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,1
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,27
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,1
Defense,20,Post,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,-1
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_sack,2
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_interception,1
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_points_allowed,14
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_sack,2
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_interception,2
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_points_allowed,1
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_sack,2
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_interception,1
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_points_allowed,14
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_sack,2
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_interception,2
Defense,19,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_points_allowed,1
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_sack,2
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_fumble_recovery_punt,1
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_points_allowed,19
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_sack,2
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_fumble_recovery_punt,2
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_sack,2
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_fumble_recovery_punt,1
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,football_values,def_points_allowed,19
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_sack,2
Defense,20,Post,"Defense, DAL (NFC East)",N/A,Dallas Cowboys,DAL,NFC,NFC East,fantasy_points,def_fumble_recovery_punt,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_sack,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_fumble_recovery,1
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_interception,1
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_points_allowed,20
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_sack,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_fumble_recovery,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_interception,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_sack,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_fumble_recovery,1
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_interception,1
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_points_allowed,20
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_sack,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_fumble_recovery,2
Defense,20,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_interception,2
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_sack,5
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_interception,2
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_points_allowed,20
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_sack,5
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_interception,4
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_sack,5
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_interception,2
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_points_allowed,20
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_sack,5
Defense,21,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_interception,4
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_sack,2
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_fumble_recovery,1
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_td,1
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_points_allowed,35
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_sack,2
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_fumble_recovery,2
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_td,6
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_points_allowed,-7
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_sack,2
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_fumble_recovery,1
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_td,1
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,football_values,def_points_allowed,35
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_sack,2
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_fumble_recovery,2
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_td,6
Defense,22,Post,"Defense, KC (AFC West)",N/A,Kansas City Chiefs,KC,AFC,AFC West,fantasy_points,def_points_allowed,-7
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_sack,7
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_fumble_recovery,1
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_interception,2
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_td,1
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_points_allowed,34
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_sack,7
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_fumble_recovery,2
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_interception,4
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_td,6
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_points_allowed,-4
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_sack,7
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_fumble_recovery,1
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_interception,2
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_td,1
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,football_values,def_points_allowed,34
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_sack,7
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_fumble_recovery,2
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_interception,4
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_td,6
Defense,19,Post,"Defense, MIA (AFC East)",N/A,Miami Dolphins,MIA,AFC,AFC East,fantasy_points,def_points_allowed,-4
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_sack,5
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_interception,1
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_points_allowed,7
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_sack,5
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_interception,2
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_points_allowed,4
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_sack,5
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_interception,1
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_points_allowed,7
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_sack,5
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_interception,2
Defense,20,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_points_allowed,4
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_sack,3
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_fumble_recovery,3
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_points_allowed,7
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_sack,3
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_fumble_recovery,6
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_points_allowed,4
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_sack,3
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_fumble_recovery,3
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_points_allowed,7
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_sack,3
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_fumble_recovery,6
Defense,21,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,fantasy_points,def_points_allowed,4
Defense,22,Post,"Defense, PHI (NFC East)",N/A,Philadelphia Eagles,PHI,NFC,NFC East,football_values,def_points_allowed,38
