position,lookup_string,team_abbr
K,"K, BAL: J.Tucker (AFC North, ID: 00-0029597)",BAL
K,"K, BUF: T.Bass (AFC East, ID: 00-0036162)",BUF
K,"K, CLE: D.Hopkins (AFC North, ID: 00-0030098)",CLE
K,"K, CLE: R.Patterson (AFC North, ID: 00-0036816)",CLE
K,"K, DAL: B.Aubrey (NFC East, ID: 00-0037692)",DAL
K,"K, DET: M.Badgley (NFC North, ID: 00-0034084)",DET
K,"K, GB: A.Carlson (NFC North, ID: 00-0038402)",GB
K,"K, HOU: J.Fairbairn (AFC South, ID: 00-0032726)",HOU
K,"K, HOU: M.Ammendola (AFC South, ID: 00-0036469)",HOU
K,"K, KC: H.Butker (AFC West, ID: 00-0033303)",KC
K,"K, LA: B.Maher (NFC West, ID: 00-0030332)",LA
K,"K, LA: L.Havrisik (NFC West, ID: 00-0038152)",LA
K,"K, LA: T.Brown (NFC West, ID: 00-0038354)",LA
K,"K, MIA: J.Sanders (AFC East, ID: 00-0034794)",MIA
K,"K, PHI: J.Elliott (NFC East, ID: 00-0033787)",PHI
K,"K, PIT: B.Potter (AFC North, ID: 00-0038748)",PIT
K,"K, PIT: C.Boswell (AFC North, ID: 00-0031136)",PIT
K,"K, SF: J.Moody (NFC West, ID: 00-0038562)",SF
K,"K, SF: Z.Gonzalez (NFC West, ID: 00-0033862)",SF
K,"K, TB: C.McLaughlin (NFC South, ID: 00-0035358)",TB
QB,"QB, BAL: A.Brown (AFC North, ID: 00-0037175)",BAL
QB,"QB, BAL: J.Johnson (AFC North, ID: 00-0026300)",BAL
QB,"QB, BAL: L.Jackson (AFC North, ID: 00-0034796)",BAL
QB,"QB, BAL: M.Cunningham (AFC North, ID: 00-0038911)",BAL
QB,"QB, BAL: T.Huntley (AFC North, ID: 00-0035993)",BAL
QB,"QB, BUF: J.Allen (AFC East, ID: 00-0034857)",BUF
QB,"QB, BUF: K.Allen (AFC East, ID: 00-0034577)",BUF
QB,"QB, BUF: S.Buechele (AFC East, ID: 00-0036679)",BUF
QB,"QB, CLE: D.Thompson-Robinson (AFC North, ID: 00-0038583)",CLE
QB,"QB, CLE: D.Watson (AFC North, ID: 00-0033537)",CLE
QB,"QB, CLE: J.Driskel (AFC North, ID: 00-0032436)",CLE
QB,"QB, CLE: J.Flacco (AFC North, ID: 00-0026158)",CLE
QB,"QB, CLE: P.Walker (AFC North, ID: 00-0033275)",CLE
QB,"QB, DAL: C.Rush (NFC East, ID: 00-0033662)",DAL
QB,"QB, DAL: R.Prescott (NFC East, ID: 00-0033077)",DAL
QB,"QB, DAL: T.Lance (NFC East, ID: 00-0037012)",DAL
QB,"QB, DET: A.Martinez (NFC North, ID: 00-0038658)",DET
QB,"QB, DET: D.Blough (NFC North, ID: 00-0035040)",DET
QB,"QB, DET: H.Hooker (NFC North, ID: 00-0038550)",DET
QB,"QB, DET: J.Goff (NFC North, ID: 00-0033106)",DET
QB,"QB, DET: N.Sudfeld (NFC North, ID: 00-0032792)",DET
QB,"QB, DET: T.Bridgewater (NFC North, ID: 00-0031237)",DET
QB,"QB, GB: A.McGough (NFC North, ID: 00-0034732)",GB
QB,"QB, GB: J.Love (NFC North, ID: 00-0036264)",GB
QB,"QB, GB: S.Clifford (NFC North, ID: 00-0038391)",GB
QB,"QB, HOU: C.Keenum (AFC South, ID: 00-0028986)",HOU
QB,"QB, HOU: C.Stroud (AFC South, ID: 00-0039163)",HOU
QB,"QB, HOU: D.Mills (AFC South, ID: 00-0036898)",HOU
QB,"QB, HOU: T.Boyle (AFC South, ID: 00-0034177)",HOU
QB,"QB, KC: B.Gabbert (AFC West, ID: 00-0027948)",KC
QB,"QB, KC: C.Oladokun (AFC West, ID: 00-0037324)",KC
QB,"QB, KC: P.Mahomes (AFC West, ID: 00-0033873)",KC
QB,"QB, LA: B.Burmeister (NFC West, ID: 00-0038365)",LA
QB,"QB, LA: C.Wentz (NFC West, ID: 00-0032950)",LA
QB,"QB, LA: D.Winn (NFC West, ID: 00-0038385)",LA
QB,"QB, LA: J.Stafford (NFC West, ID: 00-0026498)",LA
QB,"QB, LA: S.Bennett (NFC West, ID: 00-0039107)",LA
QB,"QB, MIA: J.Blackman (AFC East, ID: 00-0038683)",MIA
QB,"QB, MIA: M.White (AFC East, ID: 00-0034401)",MIA
QB,"QB, MIA: S.Thompson (AFC East, ID: 00-0037327)",MIA
QB,"QB, MIA: T.Tagovailoa (AFC East, ID: 00-0036212)",MIA
QB,"QB, PHI: J.Hurts (NFC East, ID: 00-0036389)",PHI
QB,"QB, PHI: M.Mariota (NFC East, ID: 00-0032268)",PHI
QB,"QB, PHI: T.McKee (NFC East, ID: 00-0038400)",PHI
QB,"QB, PIT: K.Pickett (AFC North, ID: 00-0038102)",PIT
QB,"QB, PIT: M.Rudolph (AFC North, ID: 00-0034771)",PIT
QB,"QB, PIT: M.Trubisky (AFC North, ID: 00-0033869)",PIT
QB,"QB, PIT: T.McSorley (AFC North, ID: 00-0035146)",PIT
QB,"QB, SF: B.Allen (NFC West, ID: 00-0032434)",SF
QB,"QB, SF: B.Purdy (NFC West, ID: 00-0037834)",SF
QB,"QB, SF: S.Darnold (NFC West, ID: 00-0034869)",SF
QB,"QB, TB: B.Mayfield (NFC South, ID: 00-0034855)",TB
QB,"QB, TB: J.Wolford (NFC South, ID: 00-0034899)",TB
QB,"QB, TB: K.Trask (NFC South, ID: 00-0036928)",TB
RB,"RB, BAL: D.Cook (AFC North, ID: 00-0033893)",BAL
RB,"RB, BAL: G.Edwards (AFC North, ID: 00-0034184)",BAL
RB,"RB, BAL: J.Dobbins (AFC North, ID: 00-0036158)",BAL
RB,"RB, BAL: J.Funk (AFC North, ID: 00-0036860)",BAL
RB,"RB, BAL: J.Hill (AFC North, ID: 00-0034975)",BAL
RB,"RB, BAL: K.Mitchell (AFC North, ID: 00-0038454)",BAL
RB,"RB, BAL: M.Gordon (AFC North, ID: 00-0032144)",BAL
