team_abbr,position,player_id,player_name,team_conf,team_division,lookup_string
ARI,K,00-0023853,M.Prater,NFC,NFC West,"K, ARI: M.Prater (NFC West, ID: 00-0023853)"
ARI,QB,00-0027688,D.McCoy,NFC,NFC West,"QB, ARI: D.McCoy (NFC West, ID: 00-0027688)"
ARI,TE,00-0030061,Z.Ertz,NFC,NFC West,"TE, ARI: Z.Ertz (NFC West, ID: 00-0030061)"
ARI,RB,00-0030874,D.Williams,NFC,NFC West,"RB, ARI: D.Williams (NFC West, ID: 00-0030874)"
ARI,TE,00-0032141,G.Swaim,NFC,NFC West,"TE, ARI: G.Swaim (NFC West, ID: 00-0032141)"
ARI,WR,00-0033251,Z.Pascal,NFC,NFC West,"WR, ARI: Z.Pascal (NFC West, ID: 00-0033251)"
ARI,RB,00-0033553,J.Conner,NFC,NFC West,"RB, ARI: J.Conner (NFC West, ID: 00-0033553)"
ARI,RB,00-0033725,C.Clement,NFC,NFC West,"RB, ARI: C.Clement (NFC West, ID: 00-0033725)"
ARI,RB,00-0033951,M.Mack,NFC,NFC West,"RB, ARI: M.Mack (NFC West, ID: 00-0033951)"
ARI,QB,00-0035228,K.Murray,NFC,NFC West,"QB, ARI: K.Murray (NFC West, ID: 00-0035228)"
ARI,WR,00-0035500,G.Dortch,NFC,NFC West,"WR, ARI: G.Dortch (NFC West, ID: 00-0035500)"
ARI,WR,00-0035510,J.Smith,NFC,NFC West,"WR, ARI: J.Smith (NFC West, ID: 00-0035510)"
ARI,WR,00-0035662,M.Brown,NFC,NFC West,"WR, ARI: M.Brown (NFC West, ID: 00-0035662)"
ARI,RB,00-0035860,T.Jones,NFC,NFC West,"RB, ARI: T.Jones (NFC West, ID: 00-0035860)"
ARI,WR,00-0035876,A.Baccellia,NFC,NFC West,"WR, ARI: A.Baccellia (NFC West, ID: 00-0035876)"
ARI,WR,00-0035976,D.Chisena,NFC,NFC West,"WR, ARI: D.Chisena (NFC West, ID: 00-0035976)"
ARI,RB,00-0036457,T.Williams,NFC,NFC West,"RB, ARI: T.Williams (NFC West, ID: 00-0036457)"
ARI,RB,00-0036548,S.Scott,NFC,NFC West,"RB, ARI: S.Scott (NFC West, ID: 00-0036548)"
ARI,WR,00-0036775,B.Smith,NFC,NFC West,"WR, ARI: B.Smith (NFC West, ID: 00-0036775)"
ARI,RB,00-0036924,M.Carter,NFC,NFC West,"RB, ARI: M.Carter (NFC West, ID: 00-0036924)"
ARI,WR,00-0036936,R.Moore,NFC,NFC West,"WR, ARI: R.Moore (NFC West, ID: 00-0036936)"
ARI,TE,00-0037020,B.Seikovits,NFC,NFC West,"TE, ARI: B.Seikovits (NFC West, ID: 00-0037020)"
ARI,WR,00-0037380,K.Davis,NFC,NFC West,"WR, ARI: K.Davis (NFC West, ID: 00-0037380)"
ARI,TE,00-0037744,T.McBride,NFC,NFC West,"TE, ARI: T.McBride (NFC West, ID: 00-0037744)"
ARI,TE,00-0038456,T.Vokolek,NFC,NFC West,"TE, ARI: T.Vokolek (NFC West, ID: 00-0038456)"
ARI,WR,00-0038559,M.Wilson,NFC,NFC West,"WR, ARI: M.Wilson (NFC West, ID: 00-0038559)"
ARI,QB,00-0038582,C.Tune,NFC,NFC West,"QB, ARI: C.Tune (NFC West, ID: 00-0038582)"
ARI,WR,00-0038702,D.Arias,NFC,NFC West,"WR, ARI: D.Arias (NFC West, ID: 00-0038702)"
ARI,RB,00-0038705,E.Demercado,NFC,NFC West,"RB, ARI: E.Demercado (NFC West, ID: 00-0038705)"
ARI,TE,00-0038706,J.Honigford,NFC,NFC West,"TE, ARI: J.Honigford (NFC West, ID: 00-0038706)"
ARI,TE,00-0038710,B.Whiteheart,NFC,NFC West,"TE, ARI: B.Whiteheart (NFC West, ID: 00-0038710)"
ARI,WR,00-0039011,B.Cobbs,NFC,NFC West,"WR, ARI: B.Cobbs (NFC West, ID: 00-0039011)"
ARI,TE,00-0039041,E.Higgins,NFC,NFC West,"TE, ARI: E.Higgins (NFC West, ID: 00-0039041)"
ATL,RB,00-0030578,C.Patterson,NFC,NFC South,"RB, ATL: C.Patterson (NFC South, ID: 00-0030578)"
ATL,RB,00-0030968,A.Smith,NFC,NFC South,"RB, ATL: A.Smith (NFC South, ID: 00-0030968)"
ATL,TE,00-0031585,M.Pruitt,NFC,NFC South,"TE, ATL: M.Pruitt (NFC South, ID: 00-0031585)"
ATL,QB,00-0031800,T.Heinicke,NFC,NFC South,"QB, ATL: T.Heinicke (NFC South, ID: 00-0031800)"
ATL,WR,00-0031868,D.Byrd,NFC,NFC South,"WR, ATL: D.Byrd (NFC South, ID: 00-0031868)"
ATL,WR,00-0033555,M.Hollins,NFC,NFC South,"WR, ATL: M.Hollins (NFC South, ID: 00-0033555)"
ATL,K,00-0033702,Y.Koo,NFC,NFC South,"K, ATL: Y.Koo (NFC South, ID: 00-0033702)"
ATL,TE,00-0033858,J.Smith,NFC,NFC South,"TE, ATL: J.Smith (NFC South, ID: 00-0033858)"
ATL,QB,00-0034438,L.Woodside,NFC,NFC South,"QB, ATL: L.Woodside (NFC South, ID: 00-0034438)"
ATL,WR,00-0034854,K.Hodge,NFC,NFC South,"WR, ATL: K.Hodge (NFC South, ID: 00-0034854)"
ATL,WR,00-0035022,P.Hart,NFC,NFC South,"WR, ATL: P.Hart (NFC South, ID: 00-0035022)"
ATL,WR,00-0035246,J.Arcega-Whiteside,NFC,NFC South,"WR, ATL: J.Arcega-Whiteside (NFC South, ID: 00-0035246)"
ATL,WR,00-0035298,S.Miller,NFC,NFC South,"WR, ATL: S.Miller (NFC South, ID: 00-0035298)"
ATL,TE,00-0035572,P.Hesse,NFC,NFC South,"TE, ATL: P.Hesse (NFC South, ID: 00-0035572)"
ATL,WR,00-0036415,V.Jefferson,NFC,NFC South,"WR, ATL: V.Jefferson (NFC South, ID: 00-0036415)"
ATL,WR,00-0036463,C.Blair,NFC,NFC South,"WR, ATL: C.Blair (NFC South, ID: 00-0036463)"
ATL,TE,00-0036825,F.Franks,NFC,NFC South,"TE, ATL: F.Franks (NFC South, ID: 00-0036825)"
ATL,WR,00-0036910,C.Saunders,NFC,NFC South,"WR, ATL: C.Saunders (NFC South, ID: 00-0036910)"
ATL,RB,00-0036950,A.Williams,NFC,NFC South,"RB, ATL: A.Williams (NFC South, ID: 00-0036950)"
ATL,WR,00-0036951,F.Darby,NFC,NFC South,"WR, ATL: F.Darby (NFC South, ID: 00-0036951)"
