team_abbr,position,player_id,player_name,team_conf,team_division,lookup_string
ARI,K,00-0023853,Matt Prater,NFC,NFC West,"K, ARI: Matt Prater (NFC West, ID: 00-0023853)"
ARI,QB,00-0027688,Colt McCoy,NFC,NFC West,"QB, ARI: Colt McCoy (NFC West, ID: 00-0027688)"
ARI,TE,00-0030061,Zach Ertz,NFC,NFC West,"TE, ARI: Zach Ertz (NFC West, ID: 00-0030061)"
ARI,RB,00-0030874,Damien Williams,NFC,NFC West,"RB, ARI: Damien Williams (NFC West, ID: 00-0030874)"
ARI,TE,00-0032141,Geoff Swaim,NFC,NFC West,"TE, ARI: Geoff Swaim (NFC West, ID: 00-0032141)"
ARI,WR,00-0033251,Zach Pascal,NFC,NFC West,"WR, ARI: Zach Pascal (NFC West, ID: 00-0033251)"
ARI,RB,00-0033553,James Conner,NFC,NFC West,"RB, ARI: James Conner (NFC West, ID: 00-0033553)"
ARI,RB,00-0033725,Corey Clement,NFC,NFC West,"RB, ARI: Corey Clement (NFC West, ID: 00-0033725)"
ARI,RB,00-0033951,Marlon Mack,NFC,NFC West,"RB, ARI: Marlon Mack (NFC West, ID: 00-0033951)"
ARI,QB,00-0035228,Kyler Murray,NFC,NFC West,"QB, ARI: Kyler Murray (NFC West, ID: 00-0035228)"
ARI,WR,00-0035500,Greg Dortch,NFC,NFC West,"WR, ARI: Greg Dortch (NFC West, ID: 00-0035500)"
ARI,WR,00-0035510,Jeff Smith,NFC,NFC West,"WR, ARI: Jeff Smith (NFC West, ID: 00-0035510)"
ARI,WR,00-0035662,Marquise Brown,NFC,NFC West,"WR, ARI: Marquise Brown (NFC West, ID: 00-0035662)"
ARI,RB,00-0035860,Tony Jones,NFC,NFC West,"RB, ARI: Tony Jones (NFC West, ID: 00-0035860)"
ARI,WR,00-0035876,Andre Baccellia,NFC,NFC West,"WR, ARI: Andre Baccellia (NFC West, ID: 00-0035876)"
ARI,WR,00-0035976,Dan Chisena,NFC,NFC West,"WR, ARI: Dan Chisena (NFC West, ID: 00-0035976)"
ARI,RB,00-0036457,Ty'Son Williams,NFC,NFC West,"RB, ARI: Ty'Son Williams (NFC West, ID: 00-0036457)"
ARI,RB,00-0036548,Stevie Scott,NFC,NFC West,"RB, ARI: Stevie Scott (NFC West, ID: 00-0036548)"
ARI,WR,00-0036775,Brandon Smith,NFC,NFC West,"WR, ARI: Brandon Smith (NFC West, ID: 00-0036775)"
ARI,RB,00-0036924,Michael Carter,NFC,NFC West,"RB, ARI: Michael Carter (NFC West, ID: 00-0036924)"
ARI,WR,00-0036936,Rondale Moore,NFC,NFC West,"WR, ARI: Rondale Moore (NFC West, ID: 00-0036936)"
ARI,TE,00-0037020,Bernhard Seikovits,NFC,NFC West,"TE, ARI: Bernhard Seikovits (NFC West, ID: 00-0037020)"
ARI,WR,00-0037380,Kaden Davis,NFC,NFC West,"WR, ARI: Kaden Davis (NFC West, ID: 00-0037380)"
ARI,TE,00-0037744,Trey McBride,NFC,NFC West,"TE, ARI: Trey McBride (NFC West, ID: 00-0037744)"
ARI,TE,00-0038456,Travis Vokolek,NFC,NFC West,"TE, ARI: Travis Vokolek (NFC West, ID: 00-0038456)"
ARI,WR,00-0038559,Michael Wilson,NFC,NFC West,"WR, ARI: Michael Wilson (NFC West, ID: 00-0038559)"
ARI,QB,00-0038582,Clayton Tune,NFC,NFC West,"QB, ARI: Clayton Tune (NFC West, ID: 00-0038582)"
ARI,WR,00-0038702,Daniel Arias,NFC,NFC West,"WR, ARI: Daniel Arias (NFC West, ID: 00-0038702)"
ARI,RB,00-0038705,Emari Demercado,NFC,NFC West,"RB, ARI: Emari Demercado (NFC West, ID: 00-0038705)"
ARI,TE,00-0038706,Joel Honigford,NFC,NFC West,"TE, ARI: Joel Honigford (NFC West, ID: 00-0038706)"
ARI,TE,00-0038710,Blake Whiteheart,NFC,NFC West,"TE, ARI: Blake Whiteheart (NFC West, ID: 00-0038710)"
ARI,WR,00-0039011,Brian Cobbs,NFC,NFC West,"WR, ARI: Brian Cobbs (NFC West, ID: 00-0039011)"
ARI,TE,00-0039041,Elijah Higgins,NFC,NFC West,"TE, ARI: Elijah Higgins (NFC West, ID: 00-0039041)"
ATL,RB,00-0030578,Cordarrelle Patterson,NFC,NFC South,"RB, ATL: Cordarrelle Patterson (NFC South, ID: 00-0030578)"
ATL,RB,00-0030968,Keith Smith,NFC,NFC South,"RB, ATL: Keith Smith (NFC South, ID: 00-0030968)"
ATL,TE,00-0031585,MyCole Pruitt,NFC,NFC South,"TE, ATL: MyCole Pruitt (NFC South, ID: 00-0031585)"
ATL,QB,00-0031800,Taylor Heinicke,NFC,NFC South,"QB, ATL: Taylor Heinicke (NFC South, ID: 00-0031800)"
ATL,WR,00-0031868,Damiere Byrd,NFC,NFC South,"WR, ATL: Damiere Byrd (NFC South, ID: 00-0031868)"
ATL,WR,00-0033555,Mack Hollins,NFC,NFC South,"WR, ATL: Mack Hollins (NFC South, ID: 00-0033555)"
ATL,K,00-0033702,Younghoe Koo,NFC,NFC South,"K, ATL: Younghoe Koo (NFC South, ID: 00-0033702)"
ATL,TE,00-0033858,Jonnu Smith,NFC,NFC South,"TE, ATL: Jonnu Smith (NFC South, ID: 00-0033858)"
ATL,QB,00-0034438,Logan Woodside,NFC,NFC South,"QB, ATL: Logan Woodside (NFC South, ID: 00-0034438)"
ATL,WR,00-0034854,KhaDarel Hodge,NFC,NFC South,"WR, ATL: KhaDarel Hodge (NFC South, ID: 00-0034854)"
ATL,WR,00-0035022,Penny Hart,NFC,NFC South,"WR, ATL: Penny Hart (NFC South, ID: 00-0035022)"
ATL,WR,00-0035246,J.J. Arcega-Whiteside,NFC,NFC South,"WR, ATL: J.J. Arcega-Whiteside (NFC South, ID: 00-0035246)"
ATL,WR,00-0035298,Scott Miller,NFC,NFC South,"WR, ATL: Scott Miller (NFC South, ID: 00-0035298)"
ATL,TE,00-0035572,Parker Hesse,NFC,NFC South,"TE, ATL: Parker Hesse (NFC South, ID: 00-0035572)"
ATL,WR,00-0036415,Van Jefferson,NFC,NFC South,"WR, ATL: Van Jefferson (NFC South, ID: 00-0036415)"
ATL,WR,00-0036463,Chris Blair,NFC,NFC South,"WR, ATL: Chris Blair (NFC South, ID: 00-0036463)"
ATL,TE,00-0036825,Feleipe Franks,NFC,NFC South,"TE, ATL: Feleipe Franks (NFC South, ID: 00-0036825)"
ATL,WR,00-0036910,C.J. Saunders,NFC,NFC South,"WR, ATL: C.J. Saunders (NFC South, ID: 00-0036910)"
ATL,RB,00-0036950,Avery Williams,NFC,NFC South,"RB, ATL: Avery Williams (NFC South, ID: 00-0036950)"
ATL,WR,00-0036951,Frank Darby,NFC,NFC South,"WR, ATL: Frank Darby (NFC South, ID: 00-0036951)"
ATL,TE,00-0036970,Kyle Pitts,NFC,NFC South,"TE, ATL: Kyle Pitts (NFC South, ID: 00-0036970)"
ATL,WR,00-0037173,Slade Bolden,NFC,NFC South,"WR, ATL: Slade Bolden (NFC South, ID: 00-0037173)"
ATL,WR,00-0037238,Drake London,NFC,NFC South,"WR, ATL: Drake London (NFC South, ID: 00-0037238)"
ATL,RB,00-0037263,Tyler Allgeier,NFC,NFC South,"RB, ATL: Tyler Allgeier (NFC South, ID: 00-0037263)"
ATL,TE,00-0037306,John FitzPatrick,NFC,NFC South,"TE, ATL: John FitzPatrick (NFC South, ID: 00-0037306)"
ATL,WR,00-0037580,Jared Bernhardt,NFC,NFC South,"WR, ATL: Jared Bernhardt (NFC South, ID: 00-0037580)"
ATL,TE,00-0037654,Tucker Fisk,NFC,NFC South,"TE, ATL: Tucker Fisk (NFC South, ID: 00-0037654)"
ATL,QB,00-0038122,Desmond Ridder,NFC,NFC South,"QB, ATL: Desmond Ridder (NFC South, ID: 00-0038122)"
ATL,WR,00-0038149,Josh Ali,NFC,NFC South,"WR, ATL: Josh Ali (NFC South, ID: 00-0038149)"
ATL,RB,00-0038156,Clint Ratkovich,NFC,NFC South,"RB, ATL: Clint Ratkovich (NFC South, ID: 00-0038156)"
ATL,RB,00-0038542,Bijan Robinson,NFC,NFC South,"RB, ATL: Bijan Robinson (NFC South, ID: 00-0038542)"
ATL,RB,00-0038896,Jacob Saylors,NFC,NFC South,"RB, ATL: Jacob Saylors (NFC South, ID: 00-0038896)"
ATL,WR,00-0038926,Keilahn Harris,NFC,NFC South,"WR, ATL: Keilahn Harris (NFC South, ID: 00-0038926)"
ATL,WR,00-0038928,Xavier Malone,NFC,NFC South,"WR, ATL: Xavier Malone (NFC South, ID: 00-0038928)"
ATL,RB,00-0038930,Carlos Washington,NFC,NFC South,"RB, ATL: Carlos Washington (NFC South, ID: 00-0038930)"
BAL,QB,00-0026300,Josh Johnson,AFC,AFC North,"QB, BAL: Josh Johnson (AFC North, ID: 00-0026300)"
BAL,K,00-0029597,Justin Tucker,AFC,AFC North,"K, BAL: Justin Tucker (AFC North, ID: 00-0029597)"
BAL,WR,00-0031235,Odell Beckham,AFC,AFC North,"WR, BAL: Odell Beckham (AFC North, ID: 00-0031235)"
BAL,WR,00-0031549,Nelson Agholor,AFC,AFC North,"WR, BAL: Nelson Agholor (AFC North, ID: 00-0031549)"
BAL,RB,00-0032144,Melvin Gordon,AFC,AFC North,"RB, BAL: Melvin Gordon (AFC North, ID: 00-0032144)"
BAL,WR,00-0032951,Laquon Treadwell,AFC,AFC North,"WR, BAL: Laquon Treadwell (AFC North, ID: 00-0032951)"
BAL,RB,00-0033376,Patrick Ricard,AFC,AFC North,"RB, BAL: Patrick Ricard (AFC North, ID: 00-0033376)"
BAL,RB,00-0033893,Dalvin Cook,AFC,AFC North,"RB, BAL: Dalvin Cook (AFC North, ID: 00-0033893)"
BAL,RB,00-0034184,Gus Edwards,AFC,AFC North,"RB, BAL: Gus Edwards (AFC North, ID: 00-0034184)"
BAL,TE,00-0034753,Mark Andrews,AFC,AFC North,"TE, BAL: Mark Andrews (AFC North, ID: 00-0034753)"
BAL,QB,00-0034796,Lamar Jackson,AFC,AFC North,"QB, BAL: Lamar Jackson (AFC North, ID: 00-0034796)"
