position,week,season_type,lookup_string,player_id,player_name,team_abbr,team_conf,team_division,stat_type,stat_label,stat_values
Defense,1,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,5
Defense,1,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_fumble_recovery,1
Defense,1,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,9
Defense,1,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,5
Defense,1,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_fumble_recovery,2
Defense,1,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,4
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,1
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_interception,1
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_punt_return_td,1
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,24
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,1
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_interception,2
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_punt_return_td,6
Defense,2,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,-1
Defense,3,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,5
Defense,3,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,22
Defense,3,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,5
Defense,3,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_points_allowed,-1
Defense,4,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_sack,4
Defense,4,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_interception,3
Defense,4,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,football_values,def_points_allowed,3
Defense,4,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_sack,4
Defense,4,Regular,"Defense, BAL (AFC North)",N/A,Baltimore Ravens,BAL,AFC,AFC North,fantasy_points,def_interception,6
